---,X,Y,Z
2.650192,1.000000,1.000000,1.000000
2.666861,1.000000,1.000000,1.000000
2.683528,1.000000,1.000000,1.000000
2.700195,1.000000,1.000000,1.000000
2.716862,1.000000,1.000000,1.000000
2.73353,1.000000,1.000000,1.000000
2.750197,1.000000,1.000000,1.000000
2.766865,1.000000,1.000000,1.000000
2.783533,1.000000,1.000000,1.000000
2.800201,1.000000,1.000000,1.000000
2.816868,1.000000,1.000000,1.000000
2.833535,1.000000,1.000000,1.000000
2.850203,1.000000,1.000000,1.000000
2.86687,1.000000,1.000000,1.000000
2.883538,1.000000,1.000000,1.000000
2.900204,1.000000,1.000000,1.000000
2.916872,1.000000,1.000000,1.000000
2.93354,1.000000,1.000000,1.000000
2.950207,1.000000,1.000000,1.000000
2.966875,1.000000,1.000000,1.000000
2.983543,1.000000,1.000000,1.000000
3.00021,1.000000,1.000000,1.000000
3.016877,1.000000,1.000000,1.000000
3.033544,1.000000,1.000000,1.000000
3.050211,1.000000,1.000000,1.000000
3.066879,1.000000,1.000000,1.000000
3.083547,1.000000,1.000000,1.000000
3.100214,1.000000,1.000000,1.000000
3.116882,1.000000,1.000000,1.000000
3.13355,1.000000,1.000000,1.000000
3.150218,1.000000,1.000000,1.000000
3.166885,1.000000,1.000000,1.000000
3.183553,1.000000,1.000000,1.000000
3.20022,1.000000,1.000000,1.000000
3.216888,1.000000,1.000000,1.000000
3.233555,1.000000,1.000000,1.000000
3.250223,1.000000,1.000000,1.000000
3.266891,1.000000,1.000000,1.000000
3.283559,1.000000,1.000000,1.000000
3.300227,1.000000,1.000000,1.000000
3.316894,1.000000,1.000000,1.000000
3.333561,1.000000,1.000000,1.000000
3.350229,1.000000,1.000000,1.000000
3.366896,1.000000,1.000000,1.000000
3.383564,1.000000,1.000000,1.000000
3.400232,1.000000,1.000000,1.000000
3.416899,1.000000,1.000000,1.000000
3.433567,1.000000,1.000000,1.000000
3.450234,1.000000,1.000000,1.000000
3.466902,1.000000,1.000000,1.000000
3.483569,1.000000,1.000000,1.000000
3.500237,1.000000,1.000000,1.000000
3.516904,1.000000,1.000000,1.000000
3.533571,1.000000,1.000000,1.000000
3.550239,1.000000,1.000000,1.000000
3.566907,1.000000,1.000000,1.000000
3.583575,1.000000,1.000000,1.000000
3.600243,1.000000,1.000000,1.000000
3.61692,1.000000,1.000000,1.000000
3.633587,1.000000,1.000000,1.000000
3.650255,1.000000,1.000000,1.000000
3.666922,1.000000,1.000000,1.000000
3.683589,1.000000,1.000000,1.000000
3.700257,1.000000,1.000000,1.000000
3.716925,1.000000,1.000000,1.000000
3.733609,1.000000,1.000000,1.000000
3.750277,1.000000,1.000000,1.000000
3.766945,1.000000,1.000000,1.000000
3.783612,1.000000,1.000000,1.000000
3.800279,1.000000,1.000000,1.000000
3.816947,1.000000,1.000000,1.000000
3.833615,1.000000,1.000000,1.000000
3.850282,1.000000,1.000000,1.000000
3.866949,1.000000,1.000000,1.000000
3.883616,1.000000,1.000000,1.000000
3.900284,1.000000,1.000000,1.000000
3.916951,1.000000,1.000000,1.000000
3.933619,1.000000,1.000000,1.000000
3.950287,1.000000,1.000000,1.000000
3.966954,1.000000,1.000000,1.000000
3.983622,1.000000,1.000000,1.000000
4.000289,1.000000,1.000000,1.000000
4.016956,1.000000,1.000000,1.000000
4.033625,1.000000,1.000000,1.000000
4.050292,1.000000,1.000000,1.000000
4.066959,1.000000,1.000000,1.000000
4.083627,1.000000,1.000000,1.000000
4.100295,1.000000,1.000000,1.000000
4.116962,1.000000,1.000000,1.000000
4.133629,1.000000,1.000000,1.000000
4.150298,1.000000,1.000000,1.000000
4.166965,1.000000,1.000000,1.000000
4.183632,1.000000,1.000000,1.000000
4.200299,1.000000,1.000000,1.000000
4.216966,1.000000,1.000000,1.000000
4.233633,1.000000,1.000000,1.000000
4.250301,1.000000,1.000000,1.000000
4.266969,1.000000,1.000000,1.000000
4.283637,1.000000,1.000000,1.000000
4.300304,1.000000,1.000000,1.000000
4.316971,1.000000,1.000000,1.000000
4.333639,1.000000,1.000000,1.000000
4.350306,1.000000,1.000000,1.000000
4.366974,1.000000,1.000000,1.000000
4.383642,1.000000,1.000000,1.000000
4.40031,1.000000,1.000000,1.000000
4.416977,1.000000,1.000000,1.000000
4.433644,1.000000,1.000000,1.000000
4.450311,1.000000,1.000000,1.000000
4.466979,1.000000,1.000000,1.000000
4.483646,1.000000,1.000000,1.000000
4.500314,1.000000,1.000000,1.000000
4.516982,1.000000,1.000000,1.000000
4.533648,1.000000,1.000000,1.000000
4.550317,1.000000,1.000000,1.000000
4.566985,1.000000,1.000000,1.000000
4.583653,1.000000,1.000000,1.000000
4.600321,1.000000,1.000000,1.000000
4.616988,1.000000,1.000000,1.000000
4.633656,1.000000,1.000000,1.000000
4.650323,1.000000,1.000000,1.000000
4.66699,1.000000,1.000000,1.000000
4.683657,1.000000,1.000000,1.000000
4.700325,1.000000,1.000000,1.000000
4.716992,1.000000,1.000000,1.000000
4.73366,1.000000,1.000000,1.000000
4.750328,1.000000,1.000000,1.000000
4.766994,1.000000,1.000000,1.000000
4.783662,1.000000,1.000000,1.000000
4.80033,1.000000,1.000000,1.000000
4.816998,1.000000,1.000000,1.000000
4.833665,1.000000,1.000000,1.000000
4.850332,1.000000,1.000000,1.000000
4.866999,1.000000,1.000000,1.000000
4.883666,1.000000,1.000000,1.000000
4.900333,1.000000,1.000000,1.000000
4.917,1.000000,1.000000,1.000000
4.933667,1.000000,1.000000,1.000000
4.950335,1.000000,1.000000,1.000000
4.967002,1.000000,1.000000,1.000000
4.983669,1.000000,1.000000,1.000000
5.000337,1.000000,1.000000,1.000000
5.017004,1.000000,1.000000,1.000000
5.033672,1.000000,1.000000,1.000000
5.05034,1.000000,1.000000,1.000000
5.067007,1.000000,1.000000,1.000000
5.083674,1.000000,1.000000,1.000000
5.100342,1.000000,1.000000,1.000000
5.11701,1.000000,1.000000,1.000000
5.133677,1.000000,1.000000,1.000000
5.150344,1.000000,1.000000,1.000000
5.167012,1.000000,1.000000,1.000000
5.183679,1.000000,1.000000,1.000000
5.200346,1.000000,1.000000,1.000000
5.217014,1.000000,1.000000,1.000000
5.233682,1.000000,1.000000,1.000000
5.250349,1.000000,1.000000,1.000000
5.267016,1.000000,1.000000,1.000000
5.283683,1.000000,1.000000,1.000000
5.30035,1.000000,1.000000,1.000000
5.317018,1.000000,1.000000,1.000000
5.333686,1.000000,1.000000,1.000000
5.350353,1.000000,1.000000,1.000000
5.367021,1.000000,1.000000,1.000000
5.383688,1.000000,1.000000,1.000000
5.400357,1.000000,1.000000,1.000000
5.417025,1.000000,1.000000,1.000000
5.433692,1.000000,1.000000,1.000000
5.45036,1.000000,1.000000,1.000000
5.467027,1.000000,1.000000,1.000000
5.483695,1.000000,1.000000,1.000000
5.500362,1.000000,1.000000,1.000000
5.517031,1.000000,1.000000,1.000000
5.533698,1.000000,1.000000,1.000000
5.550366,1.000000,1.000000,1.000000
5.567035,1.000000,1.000000,1.000000
5.583702,1.000000,1.000000,1.000000
5.600369,1.000000,1.000000,1.000000
5.617037,1.000000,1.000000,1.000000
5.633705,1.000000,1.000000,1.000000
5.650372,1.000000,1.000000,1.000000
5.667039,1.000000,1.000000,1.000000
5.683719,1.000000,1.000000,1.000000
5.700387,1.000000,1.000000,1.000000
5.717054,1.000000,1.000000,1.000000
5.733722,1.000000,1.000000,1.000000
5.75039,1.000000,1.000000,1.000000
5.767057,1.000000,1.000000,1.000000
5.783724,1.000000,1.000000,1.000000
5.800391,1.000000,1.000000,1.000000
5.817058,1.000000,1.000000,1.000000
5.833725,1.000000,1.000000,1.000000
5.850392,1.000000,1.000000,1.000000
5.867061,1.000000,1.000000,1.000000
5.883728,1.000000,1.000000,1.000000
5.900395,1.000000,1.000000,1.000000
5.917063,1.000000,1.000000,1.000000
5.933732,1.000000,1.000000,1.000000
5.950399,1.000000,1.000000,1.000000
5.967066,1.000000,1.000000,1.000000
5.983733,1.000000,1.000000,1.000000
6.0004,1.000000,1.000000,1.000000
6.017067,1.000000,1.000000,1.000000
6.033734,1.000000,1.000000,1.000000
6.050402,1.000000,1.000000,1.000000
6.06707,1.000000,1.000000,1.000000
6.083736,1.000000,1.000000,1.000000
6.100404,1.000000,1.000000,1.000000
6.117072,1.000000,1.000000,1.000000
6.133739,1.000000,1.000000,1.000000
6.150406,1.000000,1.000000,1.000000
6.167073,1.000000,1.000000,1.000000
6.183741,1.000000,1.000000,1.000000
6.200408,1.000000,1.000000,1.000000
6.217075,1.000000,1.000000,1.000000
6.233743,1.000000,1.000000,1.000000
6.25041,1.000000,1.000000,1.000000
6.267077,1.000000,1.000000,1.000000
6.283745,1.000000,1.000000,1.000000
6.300413,1.000000,1.000000,1.000000
6.317081,1.000000,1.000000,1.000000
6.333748,1.000000,1.000000,1.000000
6.350417,1.000000,1.000000,1.000000
6.367084,1.000000,1.000000,1.000000
6.383752,1.000000,1.000000,1.000000
6.40042,1.000000,1.000000,1.000000
6.417088,1.000000,1.000000,1.000000
6.433756,1.000000,1.000000,1.000000
6.450423,1.000000,1.000000,1.000000
6.467091,1.000000,1.000000,1.000000
6.483759,1.000000,1.000000,1.000000
6.500427,1.000000,1.000000,1.000000
6.517096,1.000000,1.000000,1.000000
6.533765,1.000000,1.000000,1.000000
6.550432,1.000000,1.000000,1.000000
6.5671,1.000000,1.000000,1.000000
6.583768,1.000000,1.000000,1.000000
6.600436,1.000000,1.000000,1.000000
6.617104,1.000000,1.000000,1.000000
6.633772,1.000000,1.000000,1.000000
6.65044,1.000000,1.000000,1.000000
6.667107,1.000000,1.000000,1.000000
6.683775,1.000000,1.000000,1.000000
6.700443,1.000000,1.000000,1.000000
6.71711,1.000000,1.000000,1.000000
6.733778,1.000000,1.000000,1.000000
6.750444,1.000000,1.000000,1.000000
6.767112,1.000000,1.000000,1.000000
6.783779,1.000000,1.000000,1.000000
6.800447,1.000000,1.000000,1.000000
6.817113,1.000000,1.000000,1.000000
6.833781,1.000000,1.000000,1.000000
6.850448,1.000000,1.000000,1.000000
6.867115,1.000000,1.000000,1.000000
6.883783,1.000000,1.000000,1.000000
6.900451,1.000000,1.000000,1.000000
6.917118,1.000000,1.000000,1.000000
6.933786,1.000000,1.000000,1.000000
6.950453,1.000000,1.000000,1.000000
6.967121,1.000000,1.000000,1.000000
6.983789,1.000000,1.000000,1.000000
7.000458,1.000000,1.000000,1.000000
7.017125,1.000000,1.000000,1.000000
7.033792,1.000000,1.000000,1.000000
