---,X,Y,Z
2.650192,1.000000,0.956703,0.326786
2.666861,1.000000,0.948045,0.334056
2.683528,1.000000,0.938943,0.341274
2.700195,1.000000,0.929488,0.348439
2.716862,1.000000,0.919766,0.355552
2.73353,1.000000,0.909868,0.362613
2.750197,1.000000,0.899882,0.369622
2.766865,1.000000,0.889896,0.376579
2.783533,1.000000,0.880001,0.383485
2.800201,1.000000,0.870284,0.390339
2.816868,1.000000,0.860836,0.397142
2.833535,1.000000,0.851744,0.403894
2.850203,1.000000,0.843098,0.410595
2.86687,1.000000,0.834986,0.417246
2.883538,1.000000,0.827497,0.423846
2.900204,1.000000,0.820722,0.430396
2.916872,1.000000,0.814747,0.436896
2.93354,1.000000,0.809661,0.443346
2.950207,1.000000,0.805555,0.449746
2.966875,1.000000,0.802517,0.456097
2.983543,1.000000,0.800636,0.462399
3.00021,1.000000,0.800000,0.468652
3.016877,1.000000,0.800668,0.474855
3.033544,1.000000,0.802580,0.481010
3.050211,1.000000,0.805646,0.487117
3.066879,1.000000,0.809777,0.493175
3.083547,1.000000,0.814886,0.499185
3.100214,1.000000,0.820882,0.505148
3.116882,1.000000,0.827678,0.511062
3.13355,1.000000,0.835183,0.516929
3.150218,1.000000,0.843310,0.522749
3.166885,1.000000,0.851968,0.528521
3.183553,1.000000,0.861071,0.534247
3.20022,1.000000,0.870527,0.539925
3.216888,1.000000,0.880249,0.545558
3.233555,1.000000,0.890147,0.551143
3.250223,1.000000,0.900134,0.556683
3.266891,1.000000,0.910119,0.562176
3.283559,1.000000,0.920015,0.567624
3.300227,1.000000,0.929731,0.573026
3.316894,1.000000,0.939178,0.578382
3.333561,1.000000,0.948270,0.583693
3.350229,1.000000,0.956915,0.588959
3.366896,1.000000,0.965026,0.594181
3.383564,1.000000,0.972514,0.599357
3.400232,1.000000,0.979289,0.604490
3.416899,1.000000,0.985263,0.609577
3.433567,1.000000,0.990346,0.614621
3.450234,1.000000,0.994450,0.619621
3.466902,1.000000,0.997487,0.624577
3.483569,1.000000,0.999366,0.629489
3.500237,1.000000,1.000000,0.634358
